Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,69.687500,69.750000,59.000000,60.000000,33.706520,29093000
2000-02-01,59.687500,61.500000,53.562500,54.625000,30.686968,32693100
2000-03-01,54.625000,64.125000,49.000000,62.984375,35.492901,27912800
2000-04-01,62.000000,66.937500,55.000000,66.500000,37.474030,17887100
2000-05-01,66.625000,66.937500,56.750000,59.875000,33.740723,18186100
2000-06-01,60.812500,62.937500,57.500000,58.906250,33.289715,19630000
2000-07-01,59.500000,61.500000,57.250000,58.750000,33.201427,14180700
2000-08-01,58.562500,59.062500,54.875000,55.437500,31.329414,16516300
2000-09-01,55.625000,57.562500,51.875000,56.375000,31.956676,27471500
2000-10-01,56.000000,62.187500,51.250000,60.750000,34.436668,27689700
2000-11-01,60.625000,61.500000,57.750000,60.687500,34.401237,19828500
2000-12-01,60.000000,64.312500,53.125000,58.750000,33.397091,31549600
2001-01-01,58.000000,62.500000,55.687500,61.900002,35.187740,32679300
2001-02-01,61.900002,61.900002,56.500000,56.529999,32.135113,18528800
2001-03-01,56.540001,59.700001,54.570000,56.900002,32.450115,23005000
2001-04-01,56.650002,58.250000,52.000000,57.450001,32.763790,24133300
2001-05-01,57.200001,60.000000,57.000000,59.450001,33.904392,27980500
2001-06-01,59.000000,59.200001,55.180000,57.799999,33.069511,21233100
2001-07-01,57.799999,58.750000,56.200001,56.830002,32.514545,15583900
2001-08-01,57.000000,57.080002,54.400002,55.230000,31.599134,15824400
2001-09-01,55.000000,55.500000,46.150002,51.980000,29.841785,32051500
2001-10-01,51.250000,52.830002,49.799999,51.000000,29.279171,27136800
2001-11-01,50.900002,56.220001,50.160000,56.220001,32.275993,26741700
2001-12-01,55.970001,57.150002,54.500000,54.500000,31.398207,24092500
2002-01-01,54.549999,57.500000,54.250000,57.480000,33.114998,31239900
2002-02-01,57.480000,59.200001,55.529999,58.939999,33.956142,29724200
2002-03-01,59.000000,61.240002,58.759998,60.799999,35.145264,36214200
2002-04-01,60.450001,61.549999,59.279999,60.040001,34.705952,31497800
2002-05-01,60.040001,60.380001,57.750000,60.380001,34.902481,28508700
2002-06-01,60.380001,63.000000,59.700001,61.750000,35.811226,46838700
2002-07-01,61.500000,67.000000,58.799999,65.339996,37.893200,249645200
2002-08-01,65.040001,67.099998,61.040001,63.910000,37.063881,77243900
2002-09-01,63.330002,64.000000,61.099998,62.529999,36.368126,57825800
2002-10-01,62.900002,64.500000,58.500000,60.009998,34.902454,91345600
2002-11-01,60.000000,63.950001,59.599998,63.360001,36.850868,49414900
2002-12-01,63.750000,64.480003,62.740002,63.080002,36.798767,43736900
2003-01-01,63.500000,64.480003,59.560001,60.330002,35.194504,51520900
2003-02-01,60.500000,60.849998,56.000000,57.540001,33.566917,40375600
2003-03-01,58.049999,59.959999,53.000000,57.000000,33.370716,67064600
2003-04-01,57.099998,62.480000,56.520000,62.119999,36.368225,71010400
2003-05-01,62.099998,63.180000,61.250000,62.430000,36.549721,54571500
2003-06-01,62.660000,64.320000,61.520000,63.700001,37.419315,47443600
2003-07-01,63.369999,65.309998,63.080002,63.080002,37.055107,45049000
2003-08-01,63.000000,64.220001,62.150002,62.759998,36.867130,36833100
2003-09-01,62.889999,64.879997,61.169998,63.799999,37.625343,53730400
2003-10-01,63.799999,73.110001,63.759998,72.519997,42.767868,70859500
2003-11-01,72.529999,73.800003,70.650002,72.769997,42.915314,50744100
2003-12-01,73.000000,74.870003,72.430000,74.550003,44.117420,38914500
2004-01-01,73.199997,74.800003,71.269997,71.269997,42.176388,46798500
2004-02-01,71.400002,71.970001,69.300003,70.629997,41.797607,36319200
2004-03-01,70.400002,70.459999,67.510002,69.839996,41.493317,49871900
2004-04-01,69.839996,72.209999,69.690002,70.150002,41.677502,44580500
2004-05-01,70.199997,71.879997,68.550003,71.720001,42.610275,38354000
2004-06-01,71.620003,75.260002,71.110001,75.169998,44.839836,40653000
2004-07-01,75.080002,75.290001,70.510002,71.959999,42.925022,43822800
2004-08-01,71.959999,73.160004,69.150002,73.050003,43.575230,40945600
2004-09-01,72.919998,76.000000,72.320000,75.919998,45.465897,44177200
2004-10-01,75.980003,79.300003,75.760002,79.180000,47.418209,51421000
2004-11-01,79.160004,84.690002,78.099998,84.150002,50.394558,48550500
2004-12-01,84.370003,89.110001,84.000000,85.459999,51.350636,50488900
2005-01-01,85.339996,85.839996,72.000000,74.680000,44.873230,115083000
2005-02-01,74.849998,78.989998,72.860001,77.489998,46.561684,59520300
2005-03-01,77.610001,78.800003,71.589996,72.739998,43.891190,61183400
2005-04-01,73.000000,73.970001,66.650002,71.309998,43.028332,81841700
2005-05-01,71.300003,75.879997,71.040001,73.650002,44.440281,52985700
2005-06-01,73.660004,74.400002,67.699997,69.160004,41.918346,66229400
2005-07-01,69.449997,74.000000,66.099998,72.970001,44.227585,53806800
2005-08-01,72.980003,74.220001,69.750000,70.889999,42.966892,46527700
2005-09-01,70.519997,70.709999,66.750000,69.129997,42.092232,53641900
2005-10-01,69.300003,73.989998,66.900002,72.940002,44.412113,59013700
2005-11-01,72.980003,79.970001,72.489998,77.900002,47.432175,57231200
2005-12-01,78.250000,78.650002,74.500000,75.150002,45.947788,52243800
2006-01-01,76.139999,76.989998,73.699997,74.910004,45.801044,60390300
2006-02-01,74.930000,76.349998,72.739998,74.709999,45.678780,42946200
2006-03-01,75.099998,80.180000,74.419998,79.379997,48.776981,59854200
2006-04-01,79.800003,82.870003,79.250000,81.070000,49.815460,51678700
2006-05-01,81.320000,83.989998,79.309998,80.550003,49.495945,55200100
2006-06-01,80.870003,83.129997,77.550003,82.330002,50.822811,52651000
2006-07-01,82.980003,83.000000,66.800003,68.910004,42.538559,125364200
2006-08-01,68.660004,72.180000,65.500000,70.050003,43.242294,103094500
2006-09-01,70.900002,73.570000,69.000000,71.940002,44.644173,59389400
2006-10-01,72.440002,76.949997,71.919998,75.349998,46.760368,71789300
2006-11-01,75.889999,79.720001,73.199997,77.919998,48.355240,66293200
2006-12-01,77.919998,78.769997,73.620003,74.980003,46.754177,51738400
2007-01-01,75.449997,75.980003,70.379997,72.279999,45.070583,78694400
2007-02-01,72.849998,75.320000,69.930000,70.190002,43.767330,71284700
2007-03-01,69.400002,71.629997,68.660004,70.099998,43.957314,87080400
2007-04-01,70.089996,73.199997,69.529999,70.430000,44.164257,70466100
2007-05-01,70.599998,72.199997,69.709999,71.970001,45.129925,74163300
2007-06-01,72.099998,74.480003,70.930000,73.000000,46.046890,80667400
2007-07-01,73.480003,78.400002,72.699997,75.720001,47.762608,93996100
2007-08-01,75.510002,78.989998,72.870003,75.860001,47.850906,123473400
2007-09-01,75.540001,76.419998,73.309998,75.099998,47.371525,68038800
2007-10-01,75.540001,77.760002,74.000000,75.099998,47.637032,72091100
2007-11-01,74.730003,75.099998,70.000000,73.680000,46.736286,98214200
2007-12-01,73.000000,75.820000,70.250000,70.720001,45.117130,77264800
2008-01-01,70.550003,73.519997,64.010002,72.970001,46.552544,150599000
2008-02-01,73.029999,73.949997,69.930000,70.239998,44.810928,86884300
2008-03-01,70.010002,73.739998,68.360001,73.019997,46.878426,121381700
2008-04-01,73.169998,75.080002,70.019997,72.410004,46.486824,114705400
2008-05-01,72.169998,74.139999,66.800003,71.019997,45.594437,105610500
2008-06-01,71.019997,71.739998,59.299999,61.470001,39.712990,132606400
2008-07-01,60.419998,64.849998,56.099998,63.080002,40.753139,148532000
2008-08-01,62.669998,66.860001,60.990002,64.120003,41.425049,92873100
2008-09-01,64.989998,70.000000,61.580002,62.889999,40.922363,138410300
2008-10-01,62.500000,64.440002,43.320000,52.779999,34.343822,196661900
2008-11-01,52.520000,57.740002,48.310001,57.599998,37.480175,142032100
2008-12-01,56.160000,59.480000,50.060001,55.160000,36.210728,123914200
2009-01-01,55.320000,56.380001,42.240002,42.490002,27.893290,109150100
2009-02-01,42.189999,47.630001,39.459999,41.180000,27.033310,128076100
2009-03-01,40.490002,50.990002,37.990002,49.220001,32.655216,180574200
2009-04-01,48.689999,57.250000,48.689999,52.340000,34.725197,130863400
2009-05-01,52.099998,57.889999,48.590000,51.139999,33.929058,111312600
2009-06-01,52.200001,54.119999,46.410000,49.990002,33.453312,112336300
2009-07-01,49.950001,54.250000,46.779999,53.730000,35.956112,99846900
2009-08-01,54.220001,55.040001,51.900002,53.459999,35.775433,71223800
2009-09-01,53.389999,59.630001,52.060001,56.470001,38.114689,94852600
2009-10-01,56.369999,58.270000,53.599998,53.680000,36.231564,99643700
2009-11-01,53.770000,58.799999,53.169998,57.470001,38.789646,82444200
2009-12-01,57.900002,59.750000,57.250000,57.369999,39.024567,84683700
2010-01-01,58.180000,63.380001,57.189999,57.770000,39.296658,116238300
2010-02-01,57.950001,59.950001,55.770000,58.740002,39.956474,98613700
2010-03-01,58.799999,64.949997,58.730000,64.410004,44.177177,119403100
2010-04-01,64.709999,70.309998,63.029999,69.139999,47.421360,119385000
2010-05-01,69.489998,70.889999,59.529999,62.759998,43.045479,129018700
2010-06-01,62.110001,63.490002,56.700001,56.889999,39.290051,115071400
2010-07-01,57.459999,65.349998,56.470001,65.000000,44.891079,102326300
2010-08-01,65.730003,67.720001,62.610001,63.799999,44.062321,95335100
2010-09-01,64.839996,69.500000,64.400002,66.690002,46.392612,91598800
2010-10-01,67.160004,70.000000,65.440002,67.339996,46.844769,95658300
2010-11-01,67.379997,70.650002,66.900002,70.129997,48.785641,77606700
2010-12-01,70.970001,73.940002,70.870003,72.580002,50.836300,76620000
2011-01-01,73.180000,73.889999,70.349998,71.620003,50.163883,75609800
2011-02-01,74.000000,77.000000,72.830002,73.800003,51.690804,90685100
2011-03-01,73.760002,74.949997,70.209999,74.320000,52.420517,109112500
2011-04-01,74.989998,75.339996,71.480003,74.970001,52.878979,66257700
2011-05-01,75.339996,75.580002,72.290001,73.489998,51.835083,81672900
2011-06-01,73.510002,73.680000,68.129997,72.930000,51.800934,100324800
2011-07-01,73.089996,75.800003,68.360001,69.220001,49.165771,91426500
2011-08-01,69.860001,69.860001,60.740002,67.389999,47.865963,167215000
2011-09-01,67.330002,68.419998,61.119999,63.150002,45.215660,141924800
2011-10-01,63.110001,72.040001,61.270000,70.239998,50.292114,102705600
